"ID","step","hours","exposure","material","retain","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","dose","doseType"
"sa22070.06",1,2208,"5x","9006-PET",2,95.35,-0.18,1.15,2.04,6.7,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22079.06",1,2208,"5x","9013-TPU",2,96.18,-0.02,0.66,1.22,6.3,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22082.03",1,2208,"5x","9025-PET",4,95.13,-0.15,1.26,2.29,9.4,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22070.05",1,2208,"5x","9006-PET",1,95.4,-0.17,1.18,2.11,6.4,0.0640189,0.0746197,0.0157981,0.0154616,40061.952,"fullSpectrum"
"sa22073.08",1,2208,"5x","9006-TPU",4,96.14,-0.02,0.71,1.32,7.3,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22073.07",1,2208,"5x","9006-TPU",3,96.22,-0.04,0.65,1.18,6.8,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22070.07",1,2208,"5x","9006-PET",3,95.48,-0.19,1.09,1.91,8,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22082.02",1,2208,"5x","9025-PET",3,94.94,-0.13,1.34,2.44,11.7,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22073.06",1,2208,"5x","9006-TPU",2,96.1,-0.04,0.7,1.28,7.4,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22076.05",1,2208,"5x","9013-PET",1,95.57,-0.17,1.12,1.99,4.3,0.0926899,0.0888,0.0190699,0.0148017,40061.952,"fullSpectrum"
"sa22079.07",1,2208,"5x","9013-TPU",3,96.08,-0.05,0.65,1.18,6.4,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22087.13",1,2208,"5x","PET",4,94.82,-0.16,1.22,2.2,5.9,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22070.08",1,2208,"5x","9006-PET",4,95.28,-0.16,1.19,2.14,7.2,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22082.01",1,2208,"5x","9025-PET",2,95.35,-0.15,1.18,2.12,6.9,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22085.08",1,2208,"5x","9025-TPU",4,96.2,-0.02,0.64,1.19,7.7,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22079.08",1,2208,"5x","9013-TPU",4,96.13,-0.03,0.77,1.42,7.7,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22087.12",1,2208,"5x","PET",3,94.94,-0.17,1.21,2.17,4.2,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22076.06",1,2208,"5x","9013-PET",2,95.51,-0.18,1.12,1.98,4.6,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22076.07",1,2208,"5x","9013-PET",3,95.35,-0.16,1.16,2.08,5.9,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22079.05",1,2208,"5x","9013-TPU",1,95.73,-0.03,0.73,1.35,9.7,0.336155,0.495865,0.0955777,0.0664329,40061.952,"fullSpectrum"
"sa22073.05",1,2208,"5x","9006-TPU",1,96.04,-0.01,0.71,1.32,7.9,0.28315,0.510183,0.0695706,0.0550827,40061.952,"fullSpectrum"
"sa22089.12",1,2208,"5x","TPU",3,95.58,0.01,0.93,1.77,9.8,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22082.00",1,2208,"5x","9025-PET",1,95.33,-0.17,1.2,2.14,9.6,0.0863067,0.0840582,0.0215221,0.0162465,40061.952,"fullSpectrum"
"sa22076.08",1,2208,"5x","9013-PET",4,95.21,-0.16,1.28,2.3,9.4,NA,NA,NA,NA,40061.952,"fullSpectrum"
"sa22089.13",1,2208,"5x","TPU",4,96.04,-0.02,0.75,1.39,7.4,NA,NA,NA,NA,40061.952,"fullSpectrum"
