"ID","step","hours","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","ftir.1250","ftir.1700","ftir.2900","ftir.3350","ftir.1250.wavenum","ftir.1700.wavenum","ftir.2900.wavenum","ftir.3350.wavenum","dose","doseType"
"sa22070.04",3,10296,"1x",4,"9006","PET",94.97,-0.2,1.48,2.67,6.7,0.210764,0.196149,0.0423821,0.0362013,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22076.04",3,10296,"1x",4,"9013","PET",95.03,-0.22,1.46,2.61,7.7,0.266946,0.230871,0.0422766,0.0380724,1213.61,1731.86,NA,NA,473.51304,"fullSpectrum"
"sa22081.04",3,10296,"1x",4,"9025","PET",95.17,-0.24,1.41,2.5,5.7,0.194439,0.171342,0.0453047,0.0331867,1213.61,1737.45,NA,NA,473.51304,"fullSpectrum"
"sa22087.09",3,10296,"1x",4,"PURE","PET",94.63,-0.22,1.45,2.61,8.4,0.301365,0.264792,0.0432032,0.0361679,1213.61,1729.99,NA,NA,473.51304,"fullSpectrum"
"sa22076.03",3,10296,"1x",3,"9013","PET",95.12,-0.45,1.4,2.32,5.3,0.275012,0.251002,0.0489986,0.0439539,1213.61,1735.59,NA,NA,473.51304,"fullSpectrum"
"sa22087.12",0,0,"5x",3,"PURE","PET",95.09,-0.18,1.02,1.81,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.06",0,0,"5x",2,"9006","PET",95.81,-0.2,0.94,1.63,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.05",0,0,"5x",1,"9006","TPU",96.74,-0.04,0.36,0.63,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.03",0,0,"5x",4,"9025","PET",95.81,-0.17,0.94,1.65,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.07",0,0,"5x",3,"9006","PET",95.78,-0.18,0.95,1.65,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.01",0,0,"5x",2,"9025","PET",95.82,-0.19,0.94,1.64,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.08",0,0,"5x",4,"9006","TPU",96.75,-0.04,0.33,0.58,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.06",0,0,"5x",2,"9006","TPU",96.76,-0.05,0.36,0.63,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.05",0,0,"5x",1,"9006","PET",95.8,-0.17,0.95,1.67,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.13",0,0,"5x",4,"PURE","PET",95.07,-0.18,1.04,1.84,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.07",0,0,"5x",3,"9013","PET",95.76,-0.19,0.93,1.6,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.06",0,0,"5x",2,"9013","PET",95.81,-0.19,0.95,1.64,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.02",0,0,"5x",3,"9025","PET",95.8,-0.18,0.94,1.64,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.07",0,0,"5x",3,"9025","TPU",96.8,-0.02,0.34,0.62,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22089.13",0,0,"5x",4,"PURE","TPU",96.75,-0.04,0.34,0.6,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.06",0,0,"5x",2,"9013","TPU",96.81,-0.04,0.36,0.63,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22089.12",0,0,"5x",3,"PURE","TPU",96.78,-0.04,0.32,0.57,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.00",0,0,"5x",1,"9025","PET",95.83,-0.19,0.95,1.65,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.08",0,0,"5x",4,"9025","TPU",96.82,-0.05,0.35,0.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.08",0,0,"5x",4,"9013","TPU",96.8,-0.04,0.38,0.66,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.06",0,0,"5x",2,"9025","TPU",96.79,-0.04,0.34,0.59,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22089.11",0,0,"5x",2,"PURE","TPU",96.74,-0.04,0.34,0.58,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22089.10",0,0,"5x",1,"PURE","TPU",96.74,-0.03,0.34,0.59,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.05",0,0,"5x",1,"9013","TPU",96.78,-0.04,0.36,0.64,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.07",0,0,"5x",3,"9006","TPU",96.78,-0.04,0.33,0.57,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.07",0,0,"5x",3,"9013","TPU",96.78,-0.03,0.37,0.65,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.08",0,0,"5x",4,"9006","PET",95.8,-0.18,0.93,1.62,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.08",0,0,"5x",4,"9013","PET",95.81,-0.19,0.96,1.67,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.05",0,0,"5x",1,"9013","PET",95.82,-0.2,0.94,1.62,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.11",0,0,"5x",2,"PURE","PET",95.06,-0.17,1.03,1.83,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.05",0,0,"5x",1,"9025","TPU",96.78,-0.04,0.37,0.65,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.10",0,0,"5x",1,"PURE","PET",95.11,-0.18,1.02,1.8,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.06",1,2208,"5x",2,"9006","PET",95.35,-0.18,1.15,2.04,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.06",1,2208,"5x",2,"9013","TPU",96.18,-0.02,0.66,1.22,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.03",1,2208,"5x",4,"9025","PET",95.13,-0.15,1.26,2.29,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.05",1,2208,"5x",1,"9006","PET",95.4,-0.17,1.18,2.11,6.4,0.0640189,0.0746197,0.0157981,0.0154616,1213.61,1718.81,2915.64,3331.36,NA,"fullSpectrum"
"sa22073.08",1,2208,"5x",4,"9006","TPU",96.14,-0.02,0.71,1.32,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.07",1,2208,"5x",3,"9006","TPU",96.22,-0.04,0.65,1.18,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.07",1,2208,"5x",3,"9006","PET",95.48,-0.19,1.09,1.91,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.02",1,2208,"5x",3,"9025","PET",94.94,-0.13,1.34,2.44,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22073.06",1,2208,"5x",2,"9006","TPU",96.1,-0.04,0.7,1.28,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22076.05",1,2208,"5x",1,"9013","PET",95.57,-0.17,1.12,1.99,4.3,0.0926899,0.0888,0.0190699,0.0148017,1213.61,1720.67,2930.55,3331.36,NA,"fullSpectrum"
"sa22079.07",1,2208,"5x",3,"9013","TPU",96.08,-0.05,0.65,1.18,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.13",1,2208,"5x",4,"PURE","PET",94.82,-0.16,1.22,2.2,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22070.08",1,2208,"5x",4,"9006","PET",95.28,-0.16,1.19,2.14,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22082.01",1,2208,"5x",2,"9025","PET",95.35,-0.15,1.18,2.12,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22085.08",1,2208,"5x",4,"9025","TPU",96.2,-0.02,0.64,1.19,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22079.08",1,2208,"5x",4,"9013","TPU",96.13,-0.03,0.77,1.42,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
"sa22087.12",1,2208,"5x",3,"PURE","PET",94.94,-0.17,1.21,2.17,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fullSpectrum"
