"ID","exposure","retain","substrate","material","lstar","astar","bstar","YI","Haze","step"
"sa22074.08","ASTMG154",3,"9013","PET",92.28,-0.4,2.34,4.25,68.6,3
"sa22074.08","ASTMG154",3,"9013","PET",96.8,-0.42,1.52,2.54,5.6,1
"sa22074.08","ASTMG154",3,"9013","PET",95.78,-0.18,0.98,1.71,2.1,0
"sa22074.08","ASTMG154",3,"9013","PET",95.76,-0.74,2.43,4.01,17.3,2
"sa22074.09","ASTMG154",4,"9013","PET",91.09,-0.43,2.27,4.13,88.5,4
"sa22074.09","ASTMG154",4,"9013","PET",95.84,-0.21,0.96,1.65,0.9,0
"sa22074.09","ASTMG154",4,"9013","PET",95.72,-0.31,1.2,2.04,3.3,1
"sa22074.09","ASTMG154",4,"9013","PET",95.13,-0.33,1.61,2.81,15.8,2
"sa22075.00","ASTMG154",4,"9013","PET",91.38,-0.34,2.62,4.87,69.1,3
"sa22075.00","ASTMG154",4,"9013","PET",95.83,-0.16,0.95,1.66,1.2,0
"sa22075.00","ASTMG154",4,"9013","PET",94.87,-0.3,2.11,3.78,26.6,2
"sa22075.00","ASTMG154",4,"9013","PET",95.15,-0.24,1.76,3.16,22.7,1
"sa22075.00","ASTMG154",4,"9013","PET",91.96,-0.35,2.26,4.14,85.4,4
"sa22075.01","HF",1,"9013","PET",94.88,-0.16,1.01,1.8,3.3,0
"sa22075.02","HF",2,"9013","PET",95.84,-0.2,1.07,1.88,2.9,2
"sa22075.02","HF",2,"9013","PET",95.82,-0.17,0.96,1.68,1.5,0
"sa22075.02","HF",2,"9013","PET",95.73,-0.2,1.03,1.8,2,1
"sa22075.03","HF",3,"9013","PET",95.53,-0.25,1.32,2.3,4,3
"sa22075.03","HF",3,"9013","PET",95.74,-0.22,1.04,1.8,2.3,1
"sa22075.03","HF",3,"9013","PET",95.82,-0.17,0.95,1.65,1.7,0
"sa22075.04","HF",4,"9013","PET",95.51,-0.25,1.33,2.32,3.4,3
"sa22075.04","HF",4,"9013","PET",95.4,-0.22,0.94,1.6,1.3,0
"sa22075.04","HF",4,"9013","PET",95.86,-0.21,1.09,1.89,2,2
"sa22075.04","HF",4,"9013","PET",95.68,-0.22,1.03,1.78,2.3,1
"sa22075.04","HF",4,"9013","PET",95.31,-0.24,1.54,2.73,4.9,4
"sa22075.05","HF",4,"9013","PET",95.48,-0.25,1.42,2.49,3.9,4
"sa22075.05","HF",4,"9013","PET",95.85,-0.21,1.08,1.89,2.9,2
"sa22075.05","HF",4,"9013","PET",95.5,-0.25,1.34,2.34,4.8,3
"sa22075.05","HF",4,"9013","PET",95.82,-0.2,0.96,1.65,1.3,0
"sa22075.06","ASTMG155",1,"9013","PET",95.76,-0.18,0.97,1.71,1.6,0
"sa22075.06","ASTMG155",1,"9013","PET",95.88,-0.44,1.54,2.57,1.8,1
"sa22075.07","ASTMG155",2,"9013","PET",95.83,-0.24,0.96,1.63,2.4,0
"sa22075.07","ASTMG155",2,"9013","PET",90.37,-0.41,1.77,3.19,68.7,2
"sa22075.07","ASTMG155",2,"9013","PET",95.63,-0.37,1.06,1.71,2,1
"sa22075.08","ASTMG155",3,"9013","PET",91.67,-0.39,1.8,3.22,74.3,3
"sa22075.08","ASTMG155",3,"9013","PET",91.1,-0.46,1.73,3.05,57.2,2
"sa22075.08","ASTMG155",3,"9013","PET",95.84,-0.17,0.93,1.63,1.3,0
"sa22075.08","ASTMG155",3,"9013","PET",95.14,0.09,1.06,2.08,2.3,1
"sa22075.09","ASTMG155",4,"9013","PET",95.26,-0.68,1.54,2.4,10.3,2
"sa22075.09","ASTMG155",4,"9013","PET",91.64,-0.51,1.96,3.44,91.5,3
"sa22075.09","ASTMG155",4,"9013","PET",95.83,-0.23,0.96,1.63,1.3,0
"sa22075.09","ASTMG155",4,"9013","PET",95.45,-0.09,1.16,2.13,8.5,1
