Wavenumber,sa22089.14,sa22088.00,sa22087.14,sa22086.00,sa22085.09,sa22083.00,sa22080.00,sa22082.04,sa22079.09,sa22077.00,sa22076.09,sa22074.00,sa22073.09,sa22071.00,sa22070.09,sa22068.00
1795.24,0.0150148,0.0149654,0.0134838,0.0122326,0.0133338,0.0141855,0.00982903,0.00997605,0.0158941,0.0152576,0.00968855,0.00879365,0.0147806,0.0148843,0.0091468,0.00727823
1797.11,0.0122987,0.0119065,0.0114491,0.0105618,0.0111735,0.0118453,0.00748619,0.00782946,0.0133102,0.012945,0.00738692,0.00695555,0.0124964,0.0136284,0.00747847,0.00599402
1798.97,0.0113568,0.0111783,0.0111378,0.0100197,0.0101498,0.0105493,0.00719111,0.0069407,0.0124489,0.0122686,0.00666949,0.00691664,0.0112672,0.0129447,0.00703315,0.00555664
1800.83,0.0122702,0.0120268,0.0122707,0.0109206,0.0106674,0.0110749,0.00817673,0.00773071,0.0132787,0.0134448,0.00781237,0.00801017,0.0116754,0.0128716,0.00795693,0.00583358
1802.7,0.0128109,0.012141,0.0130521,0.0120448,0.0112337,0.0116812,0.00872753,0.00843756,0.0133261,0.0137055,0.00856138,0.00808555,0.0121039,0.0126187,0.00870596,0.00624805
1804.56,0.0107382,0.0102038,0.0116477,0.0108611,0.00926147,0.00997971,0.00696332,0.00678809,0.0114622,0.0114867,0.00714665,0.00654971,0.010564,0.0113396,0.00727011,0.00541115
1806.43,0.00835793,0.00826525,0.00999752,0.00903922,0.00738473,0.00788489,0.00531588,0.00534393,0.00975783,0.00965733,0.00569887,0.0052904,0.00887715,0.0101243,0.00570767,0.00425033
1808.29,0.00796197,0.00792837,0.00996918,0.0088985,0.00756325,0.00767298,0.00544061,0.0055377,0.00967465,0.00926326,0.00554419,0.00535845,0.00887391,0.00996489,0.00583739,0.0042287
1810.16,0.00916119,0.00912144,0.0112743,0.00988413,0.00846765,0.00874365,0.00631939,0.00634249,0.0104916,0.00971052,0.00696445,0.00616296,0.00958164,0.0101316,0.00655166,0.00511296
1812.02,0.00997696,0.00993631,0.012101,0.0104235,0.00882783,0.00899379,0.00645593,0.00658661,0.0106218,0.0102561,0.00755392,0.00620482,0.00972611,0.0101361,0.006743,0.00565548
1813.88,0.00846906,0.00817877,0.0108629,0.00973304,0.0075675,0.00752176,0.00538487,0.00559998,0.00924989,0.00928081,0.0058317,0.00545878,0.00842141,0.00925018,0.00605365,0.00483769
1815.75,0.00718086,0.00659436,0.0098983,0.00943191,0.0066552,0.00660189,0.00485269,0.00472517,0.00831683,0.00839767,0.00458822,0.00550039,0.00776914,0.00878201,0.00587716,0.00436657
1817.61,0.00730702,0.00639534,0.0104165,0.00975235,0.00679973,0.00642096,0.00504196,0.00469956,0.00818358,0.00817478,0.00469147,0.00533758,0.00767873,0.00853658,0.00590607,0.00440214
1819.48,0.00681546,0.00601971,0.0102784,0.00919586,0.00627941,0.00552052,0.00504236,0.00465321,0.00772326,0.00735924,0.0049567,0.00490278,0.00713452,0.00791347,0.00525816,0.00377949
1821.34,0.00659216,0.00550088,0.0101213,0.00909852,0.00589824,0.00545008,0.00490704,0.00488763,0.00747415,0.00726602,0.00541576,0.00511719,0.00710704,0.00766996,0.0055337,0.00384025
