Wavenumber,sa22088.12,sa22086.12,sa22084.02,sa22078.02,sa22080.12,sa22075.02,sa22072.02,sa22069.02,sa22088.02,sa22083.02,sa22086.02,sa22080.02,sa22077.02,sa22074.02,sa22071.02,sa22068.02,sa22065.52,sa22062.52,sa22059.52,sa22056.52,sa22089.02,sa22087.02,sa22084.07,sa22080.17,sa22078.07,sa22063.57,sa22069.07,sa22075.07,sa22072.07,sa22088.07,sa22086.07,sa22083.07,sa22080.07,sa22077.07,sa22074.07,sa22071.07,sa22068.07
736.366,0.0952385,0.159883,0.0886536,0.0946295,0.152411,0.159851,0.0942363,0.163267,0.093533,0.129415,0.177458,0.125803,0.23375,0.108633,0.0927176,0.0856938,0.124781,0.12426,0.152494,0.100578,0.0995334,0.109549,0.105581,0.130778,0.182181,0.131084,0.121119,0.0996815,0.122582,0.105915,0.0481592,0.0928378,0.090117,0.121454,0.126879,0.11176,0.100141
738.23,0.0922454,0.124448,0.0870207,0.0909014,0.118114,0.124693,0.0932865,0.126639,0.0896927,0.128107,0.157648,0.117409,0.234431,0.108442,0.0903768,0.0861959,0.124191,0.120395,0.151566,0.102016,0.0956997,0.0867677,0.103334,0.11002,0.181328,0.120492,0.104591,0.0805621,0.11953,0.100525,0.0423901,0.0893931,0.0823254,0.120267,0.118955,0.109515,0.101079
740.095,0.0896391,0.102756,0.0854435,0.0870323,0.0978639,0.103105,0.0925366,0.104583,0.0861353,0.12691,0.147728,0.11413,0.23596,0.109105,0.0879835,0.0875157,0.123573,0.12002,0.151609,0.104197,0.0919153,0.0731204,0.101531,0.0988718,0.180717,0.116479,0.0960696,0.0699372,0.117674,0.095849,0.0392347,0.0869203,0.0782164,0.119076,0.115871,0.107203,0.102439
741.959,0.0870356,0.0940276,0.0850042,0.0845197,0.0906113,0.0943251,0.0924766,0.0957646,0.0836934,0.127032,0.145699,0.115416,0.238542,0.111261,0.0863784,0.0895157,0.123412,0.12257,0.153045,0.106696,0.0890984,0.0689829,0.100172,0.0966551,0.181518,0.118989,0.0948157,0.0674677,0.116399,0.0923763,0.0379548,0.0847281,0.0773351,0.118589,0.116746,0.10471,0.103885
743.823,0.0834251,0.0926175,0.0844288,0.0822016,0.0907512,0.0936749,0.0921396,0.0950125,0.0815994,0.127069,0.146753,0.118588,0.241504,0.113262,0.0841898,0.0910148,0.123032,0.125347,0.154557,0.109008,0.0862306,0.0701234,0.0985772,0.0994201,0.182635,0.124415,0.0982001,0.0689237,0.114841,0.0895672,0.0375289,0.0818266,0.0789374,0.118243,0.119812,0.10223,0.105511
745.687,0.0804834,0.0952079,0.0832337,0.0793987,0.0934936,0.0966038,0.0907429,0.097918,0.0793522,0.126463,0.149682,0.121888,0.244237,0.114796,0.0814328,0.0920174,0.122164,0.127402,0.156451,0.111363,0.0831155,0.0737534,0.0972502,0.104068,0.183311,0.129098,0.103062,0.0724842,0.113514,0.0866377,0.0378779,0.0788313,0.0811092,0.117431,0.123281,0.0994878,0.106602
747.551,0.0785152,0.0990359,0.0823159,0.0772591,0.0974681,0.100765,0.0895859,0.102523,0.0771502,0.126859,0.153429,0.124366,0.247288,0.116321,0.0793661,0.0929828,0.121653,0.128929,0.160602,0.114539,0.080919,0.0778149,0.0965172,0.109176,0.184652,0.133378,0.107944,0.0767404,0.113273,0.0841393,0.0386238,0.0766413,0.0829169,0.116565,0.126321,0.0973047,0.107542
749.416,0.0770499,0.10227,0.0815913,0.0756927,0.101408,0.104808,0.0887414,0.106971,0.0750531,0.126992,0.1569,0.126283,0.251182,0.117509,0.0776271,0.0933714,0.121471,0.130218,0.166693,0.118071,0.0792877,0.0813422,0.0959616,0.11378,0.186415,0.137595,0.112579,0.0802242,0.112835,0.0820611,0.0396771,0.074874,0.084597,0.116382,0.129109,0.0957529,0.10824
751.28,0.0748468,0.104694,0.079742,0.0733108,0.103602,0.107156,0.0870024,0.109259,0.0727119,0.125933,0.158841,0.127415,0.254475,0.118,0.075191,0.092832,0.120109,0.130945,0.173272,0.120909,0.0769409,0.0832479,0.094181,0.116398,0.187363,0.140126,0.115036,0.082168,0.111109,0.0800039,0.0405164,0.0729825,0.0860187,0.116026,0.131719,0.0941413,0.108183
753.144,0.0727863,0.107039,0.0778005,0.0710671,0.105584,0.109305,0.0853616,0.111367,0.0706945,0.125085,0.160018,0.128055,0.257447,0.119194,0.07297,0.0925532,0.118378,0.131706,0.180167,0.124277,0.0747469,0.084488,0.0922345,0.118569,0.188047,0.142084,0.116998,0.0838699,0.109028,0.0784541,0.0412783,0.0708812,0.0873786,0.115628,0.133733,0.0926621,0.108572
755.008,0.0715364,0.109717,0.0773899,0.0692274,0.108673,0.112154,0.0845194,0.114252,0.0690346,0.125869,0.162521,0.129444,0.26192,0.121074,0.0721256,0.0933548,0.117472,0.133226,0.187785,0.128793,0.073299,0.0868383,0.0915264,0.122045,0.189679,0.145431,0.120495,0.0866331,0.108595,0.0769418,0.0420871,0.0691396,0.0887816,0.115391,0.135633,0.0910099,0.109499
756.873,0.0700976,0.112429,0.0769745,0.0672541,0.111434,0.115004,0.0843502,0.117217,0.0675536,0.127148,0.165066,0.131073,0.267166,0.123183,0.0714134,0.0942564,0.116657,0.134186,0.197069,0.133459,0.0719504,0.089308,0.0911913,0.125965,0.193081,0.148277,0.124219,0.0898595,0.108753,0.0754748,0.0430236,0.0680485,0.0899564,0.115631,0.137845,0.0896805,0.110444
758.737,0.0690272,0.115192,0.0775721,0.0663312,0.114266,0.11787,0.0855278,0.120549,0.0670269,0.128721,0.166773,0.132966,0.273294,0.125868,0.0708759,0.095531,0.116899,0.134905,0.213001,0.140087,0.0710651,0.0921673,0.0917022,0.128869,0.198596,0.150255,0.12712,0.0928628,0.108949,0.0742133,0.0430983,0.0668603,0.0906671,0.116278,0.139209,0.0890264,0.111261
760.601,0.0689629,0.117738,0.0794777,0.0669729,0.117178,0.120085,0.0872629,0.123466,0.0676841,0.131109,0.168386,0.134237,0.280063,0.128529,0.0712242,0.0966786,0.117759,0.135443,0.239031,0.14968,0.0709786,0.0949477,0.0928202,0.130696,0.205584,0.152258,0.129118,0.0950939,0.110218,0.0737911,0.0424574,0.0660065,0.0914468,0.118202,0.140037,0.089041,0.112083
762.465,0.0704098,0.120401,0.0823935,0.068512,0.119134,0.121746,0.0896061,0.125796,0.0696751,0.134687,0.169375,0.135066,0.28757,0.130881,0.0727236,0.0972175,0.118267,0.135084,0.273774,0.159645,0.0724346,0.0964947,0.0948154,0.13319,0.21398,0.153334,0.131112,0.0965261,0.112812,0.0748089,0.0424377,0.0672282,0.0925449,0.122814,0.141829,0.0906286,0.113162
764.329,0.0735119,0.123138,0.086484,0.0716897,0.121598,0.124316,0.093447,0.128511,0.0730681,0.139555,0.170234,0.136034,0.292282,0.132294,0.0762091,0.0974149,0.119876,0.134767,0.304095,0.165413,0.0760867,0.0981226,0.0993436,0.13559,0.222135,0.154326,0.133196,0.0980707,0.117098,0.0784382,0.0430382,0.0709674,0.0931805,0.129403,0.144032,0.0947221,0.114017
766.194,0.0794918,0.126078,0.0920927,0.0779376,0.124774,0.127614,0.0986278,0.131304,0.0794723,0.145095,0.171442,0.136303,0.289799,0.131631,0.0821347,0.0970755,0.123367,0.134707,0.310812,0.162427,0.0823449,0.100234,0.106267,0.136828,0.227719,0.155338,0.134834,0.0996442,0.122754,0.0854116,0.0437017,0.0779158,0.0942762,0.136404,0.146267,0.102098,0.11445
